user,act,total_turn,user_turn,fallback_speech,fallback_intent
1,vital_signs,14,22,7,1
2,vital_signs,14,17,3,0
3,vital_signs,14,20,6,0
4,vital_signs,14,16,2,0
5,vital_signs,14,18,2,0
6,vital_signs,14,21,5,2
7,vital_signs,14,25,9,2
8,vital_signs,14,24,8,2
9,vital_signs,14,18,4,0
10,vital_signs,14,17,3,0
11,vital_signs,14,17,3,0
12,vital_signs,14,20,6,0
1,meal_med,12,14,2,0
2,meal_med,12,14,2,0
3,meal_med,12,13,1,0
4,meal_med,12,20,5,3
5,meal_med,12,15,2,1
6,meal_med,12,14,1,1
7,meal_med,12,13,1,0
8,meal_med,12,15,3,0
9,meal_med,12,15,3,0
10,meal_med,12,16,4,0
11,meal_med,12,16,3,1
12,meal_med,12,15,2,1
1,oral_care,6,8,2,0
2,oral_care,6,7,1,0
3,oral_care,6,9,3,0
4,oral_care,6,12,6,0
5,oral_care,6,15,6,3
6,oral_care,6,13,5,2
7,oral_care,6,10,3,1
8,oral_care,6,9,3,0
9,oral_care,6,8,2,0
10,oral_care,6,9,3,0
11,oral_care,6,6,0,0
12,oral_care,6,8,2,0
1,excretion,16,17,1,0
2,excretion,16,22,7,2
3,excretion,16,20,2,2
4,excretion,16,17,1,0
5,excretion,16,20,4,0
6,excretion,16,24,7,1
7,excretion,16,25,7,2
8,excretion,16,23,7,0
9,excretion,16,25,9,0
10,excretion,16,30,12,2
11,excretion,16,22,6,0
12,excretion,16,19,3,0
1,bathing,6,9,3,0
2,bathing,6,7,1,0
3,bathing,6,8,2,0
4,bathing,6,12,5,1
5,bathing,6,12,4,2
6,bathing,6,15,8,1
7,bathing,6,8,2,0
8,bathing,6,9,3,0
9,bathing,6,6,0,0
10,bathing,6,8,2,0
11,bathing,6,7,1,0
12,bathing,6,7,1,0
,,,,,